,delta_angle_acute_count,delta_angle_obtuse_count,delta_angle_mean
D1_patient_62,3.2216922244384882,8.824735647729048,4.577971344445601
D2_patient_63,12.470458487075554,9.466114963643543,13.367074672993418
D2_patient_64,4.557140277972874,2.4485157459083773,20.215685782479184
D2_patient_65,0.7510741362411082,6.2607081785022345,43.24880097299557
D2_patient_66,13.271970302929606,5.923136519812109,0.6668015978414346
D2_patient_67,5.847345014022771,1.5790196595159482,19.149521489325913
D2_patient_68,2.7202623850362855,12.180560608053854,33.26106720249473
D2_patient_69,6.514415761000645,8.220755216456924,23.499477369889625
D2_patient_70,5.3017644691964705,2.040399406268371,33.85145596747072
D2_patient_71,3.358487521035922,7.033531147467258,7.24543971438905
D2_patient_72,18.810854244057705,13.892915566897653,15.432734444501996
D2_patient_73,3.582463128828156,3.476640369746475,2.421816766107483
D2_patient_74,5.580239849817005,0.5997845042965544,26.670086935732996
D2_patient_75,0.6201675327468514,12.011795762430236,1.2708422635395422
D2_patient_76,0.5556772678804656,4.148666885521234,2.649215478775119
D2_patient_77,6.748212629036081,2.298776047506255,27.660560119190848
D2_patient_78,4.079044067657133,3.0660241094444984,2.687523223083531
D2_patient_79,0.8394562003706305,1.2942532377059663,24.520012067202586
D2_patient_80,7.396283050788556,8.626437453161044,3.2779152398190092
D2_patient_81,9.417097445524508,5.233320396066436,3.6771263123137814
D2_patient_82,17.035353821417996,15.811673539814365,51.02930119793472
D2_patient_83,18.431139432221144,12.513157960504335,51.27914229999951
D2_patient_84,21.43092790689662,19.522478778374985,51.06369248125064
D2_patient_85,25.99269590391171,20.12358194033928,66.67758345313364
D2_patient_86,26.9916474972404,15.307946061041124,52.27711775252981
D2_patient_87,16.428759521844647,9.141970569964736,65.87033935081683
D2_patient_88,17.886721516402233,14.6860433781363,61.27267090819216
D2_patient_89,18.13664381133786,12.92168535373446,49.5280524007698
D2_patient_90,12.23697401742668,20.84361077406825,63.352470461301486
D2_patient_91,17.00324908417347,22.10556170075749,60.98231056915274
D2_patient_92,17.956016303820057,11.356065871655115,43.09796052425901
D2_patient_93,20.95490641121334,15.69297391948724,66.56701004580069
D2_patient_94,24.269025098958867,12.836802774808216,71.35861638070041
D2_patient_95,15.838913473767288,18.239362926010514,86.68922328292737
D2_patient_96,18.70230842402682,16.46256359899365,72.0746500801008
D2_patient_97,24.45873548308247,8.437241034929821,89.69586769574201
D2_patient_98,14.099819746046691,16.389456986218065,70.39425370345137
D2_patient_99,15.052703162098648,19.672218107509696,30.274288707893845
D2_patient_100,18.81522789093831,11.596401129420352,92.67522042587645
D2_patient_101,23.239678932772883,15.860460717064637,46.09053442220283
D2_patient_102,25.390054977022583,23.17913316213909,75.39455447547047
D2_patient_103,16.50942075923025,11.729287501016094,67.23905503206635
D2_patient_104,23.173565382722405,12.586992609546725,81.82217193394699
D2_patient_105,18.14362946086409,11.866902399988913,85.98635650103643
D2_patient_106,15.6655701363183,17.075766437026978,74.80614829173646
D2_patient_107,29.158533692333958,17.06690289297921,53.99999060457175
D2_patient_108,19.10685009737768,16.268946274320083,75.12306640797249
D2_patient_109,20.19294086854265,16.307407667031878,57.739944905491626
D2_patient_110,16.712834514414247,10.823660148232042,32.47782368343799
D2_patient_111,21.36631919710434,14.048423170914042,55.89846486155095
D2_patient_112,28.64193165943801,16.560838790799004,34.131957100992615
D3_patient_113,14.84385187110303,16.966237227601063,74.92302090514367
D3_patient_114,23.607812263385146,2.331388472097494,71.54390010864729
D3_patient_115,17.876376616230484,13.704568588575892,78.24852999370935
D3_patient_116,21.599432513324743,14.641134756589478,89.2835604003702
D3_patient_117,18.742538233234782,19.267758235321644,38.03351512351122
D3_patient_118,19.572185755694743,12.625443131491243,48.5510878365838
D3_patient_119,19.82906123858552,14.490789427218155,72.91911242984298
D3_patient_120,16.661494651617033,20.89028541893016,57.76675945430196
D3_patient_121,12.763103522354593,12.58848697163608,77.09301447674403
D3_patient_122,17.267121802064484,17.61939122487274,58.77217942835652
D3_patient_123,24.97731506765732,13.99352505991734,66.24994306700907
D3_patient_124,27.800922464394315,14.276576384395502,54.728053746155375
D3_patient_125,20.38824460170208,8.115679759777766,73.92673216100164
D3_patient_126,24.784843878800515,17.956570678360972,52.80176197530137
D3_patient_127,20.422569269044097,13.93903080785485,76.9552368374897
D3_patient_128,31.18556227045269,15.00178249737177,73.12142809088576
D3_patient_129,23.485220014140765,7.131173931496666,83.31379894183713
D3_patient_130,26.406494719837795,17.840316325428383,39.68973678887482
D3_patient_131,18.2797040413845,14.832833458699827,96.67325813968588
D3_patient_132,20.34059790892358,12.809437720643867,68.02582784034442
D3_patient_133,17.28702038980185,15.611335494569706,97.19555450856826
D3_patient_134,22.807202687284853,10.760076791355685,69.70131681355687
D3_patient_135,26.801805050837824,18.48637359621168,57.51705705823117
D3_patient_136,24.549166916903197,10.213844603285327,63.15577374534067
D3_patient_137,11.739494173333414,15.478497839299628,45.5630880593362
D3_patient_138,18.74652730713238,15.049134812249587,45.06293704603763
D3_patient_139,17.640006080364255,11.797081113228195,51.6457692442119
D4_patient_140,14.275146506190737,18.49591672094078,64.83748249145428
D4_patient_141,10.153823698651504,7.781777963178062,70.33139680262875
D4_patient_142,23.88208235253208,11.432845283567945,72.57958036659849
D4_patient_143,26.802772553391247,13.82543392972472,83.46963423291271
D4_patient_144,23.850254933095023,16.51745016345821,62.03970043693169
D4_patient_145,17.655827205947745,14.677150363076944,82.56511210173807
D4_patient_146,20.55506531311651,16.092381195500888,64.47372104706649
D4_patient_147,16.36489365063873,13.658410004715098,58.14751659223143
D4_patient_148,16.004692982084734,17.92106365539659,56.21721788076774
D4_patient_149,15.602545456327366,16.693866214828333,59.917971635149385
D4_patient_150,19.50582679986737,16.279944202933272,60.96794449863938
D4_patient_151,16.88185219590735,20.623539479619037,49.75886992949408
D4_patient_152,18.28345701413469,9.90807077406628,56.04604122510812
D4_patient_153,21.432627886948733,15.879685119414251,80.53857346089784
D4_patient_154,23.19993654797449,16.316122362920964,64.0376618957633
D4_patient_155,11.575422343011974,17.12032709795493,47.5284006034496
D4_patient_156,19.4499592796694,12.828352184787756,58.87139506998125
D4_patient_157,13.737661823410765,24.037564929281704,45.0252940382195
D4_patient_158,26.01237275106668,15.429508774450516,60.88132238663017
D4_patient_159,16.753694456293164,14.50636133645058,66.2974941018193
D4_patient_160,15.7634018022617,11.90526537154637,20.26391697669113
D4_patient_161,27.96148369083673,19.630792390495785,78.58193408931916
D4_patient_162,24.828198943818943,15.719061339171466,47.65346469571144
